category_list,Automotive & Sports,Blanks,Cleantech / Semiconductors,Entertainment,Health,Manufacturing,"News, Search and Messaging",Others,"Social, Finance, Analytics, Advertising",main_sector
Cloud Infrastructure,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Cloud Ma0gement,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Cloud Security,0,0,0,0,0,0,1,0,0,Entertainment
Coffee,0,0,0,1,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Collaboration,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Collaborative Consumption,0,0,0,0,0,0,0,0,1,Others
Collectibles,0,0,0,0,0,0,0,1,0,Others
College Campuses,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
College Recruiting,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Colleges,0,0,0,0,0,0,0,0,1,Entertainment
Comics,0,0,0,1,0,0,0,0,0,"News, Search and Messaging"
Commercial Real Estate,0,0,0,0,0,0,1,0,0,Cleantech / Semiconductors
Commercial Solar,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Commodities,0,0,1,0,0,0,0,0,0,Manufacturing
Communications Hardware,0,0,0,0,0,1,0,0,0,Manufacturing
Communications Infrastructure,0,0,0,0,0,1,0,0,0,"Social, Finance, Analytics, Advertising"
Communities,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Comparison Shopping,0,0,0,0,0,0,1,0,0,Manufacturing
Computer Vision,0,0,0,0,0,1,0,0,0,Manufacturing
Computers,0,0,0,0,0,1,0,0,0,Cleantech / Semiconductors
Concentrated Solar Power,0,0,1,0,0,0,0,0,0,Entertainment
Concerts,0,0,0,1,0,0,0,0,0,Entertainment
Console Gaming,0,0,0,1,0,0,0,0,0,Manufacturing
Construction,0,0,0,0,0,1,0,0,0,"Social, Finance, Analytics, Advertising"
Consulting,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Consumer Behavior,0,0,0,0,0,0,0,0,1,Manufacturing
Consumer Electronics,0,0,0,0,0,1,0,0,0,Manufacturing
Consumer Goods,0,0,0,0,0,1,0,0,0,"Social, Finance, Analytics, Advertising"
Consumer Internet,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
